TestType,Nodes,Partitions,Replicas,RendezvousTime_ms,ThreadSafeNoPreWarm_ms,ThreadSafeWithPreWarm_ms,BestTime_ms,Timestamp
FewReplicas,10,1000,1,0,0,0,0,2025-10-23 16:58:11
FewReplicas,10,1000,3,9,0,0,0,2025-10-23 16:58:11
FewReplicas,10,1000,5,0,9,0,0,2025-10-23 16:58:11
FewReplicas,10,10000,1,22,1,10,1,2025-10-23 16:58:12
FewReplicas,10,10000,3,38,32,21,21,2025-10-23 16:58:12
FewReplicas,10,10000,5,53,39,40,39,2025-10-23 16:58:12
FewReplicas,50,1000,1,5,1,4,1,2025-10-23 16:58:12
FewReplicas,50,1000,3,13,2,2,2,2025-10-23 16:58:12
FewReplicas,50,1000,5,58,5,9,5,2025-10-23 16:58:12
FewReplicas,50,10000,1,61,10,10,10,2025-10-23 16:58:12
FewReplicas,50,10000,3,62,38,18,18,2025-10-23 16:58:12
FewReplicas,50,10000,5,306,20,19,19,2025-10-23 16:58:12
FewReplicas,100,1000,1,5,1,1,1,2025-10-23 16:58:12
FewReplicas,100,1000,3,17,3,1,1,2025-10-23 16:58:12
FewReplicas,100,1000,5,58,2,5,2,2025-10-23 16:58:13
FewReplicas,100,10000,1,59,7,11,7,2025-10-23 16:58:13
FewReplicas,100,10000,3,56,13,10,10,2025-10-23 16:58:13
FewReplicas,100,10000,5,218,12,18,12,2025-10-23 16:58:13
FewReplicas,200,1000,1,12,0,0,0,2025-10-23 16:58:13
FewReplicas,200,1000,3,9,0,0,0,2025-10-23 16:58:13
FewReplicas,200,1000,5,19,0,0,0,2025-10-23 16:58:13
FewReplicas,200,10000,1,90,0,0,0,2025-10-23 16:58:13
FewReplicas,200,10000,3,100,1,10,1,2025-10-23 16:58:13
FewReplicas,200,10000,5,120,11,8,8,2025-10-23 16:58:13
